,assistsPg,blocksPg,defRebsPg,efficiency,fgaPg,fgmPg,fgpct,foulsPg,ftaPg,ftmPg,ftpct,games,gamesStarted,minsPg,offRebsPg,pointsPg,rebsPg,stealsPg,tpaPg,tpmPg,tppct,turnoversPg,playerId
218,2.4,0.55,4.1,12.8,6.397,2.931,45.8,1.6,0.897,0.759,84.6,58,38,28.4,0.8,8.3,4.9,1.09,4.207,1.707,40.6,0.86,201587
219,2.1,0.77,2.7,10.7,6.129,2.645,43.2,3.13,1.323,1.065,80.5,31,31,23.4,0.9,8.0,3.6,0.84,4.032,1.677,41.6,0.87,201976
220,1.3,0.13,3.0,7.0,5.125,2.5,48.8,1.75,1.625,0.75,46.2,8,0,11.5,1.5,6.3,4.5,0.38,1.0,0.5,50.0,2.0,202326
221,5.4,0.46,5.6,24.6,17.783,8.522,47.9,2.37,4.174,3.717,89.1,46,46,33.7,0.9,24.0,6.5,1.22,7.609,3.261,42.9,3.3,202331
222,0.7,0.24,1.5,5.6,4.03,1.818,45.1,1.3,0.485,0.364,75.0,33,4,14.3,0.5,5.1,2.0,0.36,2.758,1.061,38.5,0.33,202335
223,1.0,0.25,3.5,12.9,10.438,4.917,47.1,2.13,1.479,1.188,80.3,48,20,26.3,0.6,13.6,4.1,0.6,5.313,2.542,47.8,0.9,202694
224,5.1,0.43,5.5,28.1,18.174,9.37,51.6,1.65,5.717,5.022,87.8,46,46,34.4,1.1,25.7,6.6,1.67,4.978,1.957,39.3,1.98,202695
225,3.2,0.1,2.5,11.3,8.552,3.862,45.2,2.02,1.328,1.069,80.5,58,36,22.8,0.4,10.5,2.9,0.6,3.914,1.724,44.1,1.09,202704
226,7.0,0.0,0.0,12.0,6.0,2.0,33.3,1.0,3.0,3.0,100.0,1,0,20.0,0.0,8.0,0.0,1.0,3.0,1.0,33.3,0.0,1627812
227,1.2,0.89,4.6,15.3,5.613,3.613,64.4,2.65,2.484,1.952,78.6,62,23,22.4,2.7,9.2,7.3,0.37,0.048,0.0,0.0,1.13,1627826
228,1.7,0.16,2.5,9.0,6.625,3.161,47.7,1.52,0.518,0.429,82.8,56,15,19.9,0.3,8.4,2.8,0.36,3.571,1.643,46.0,0.8,1628379
229,0.5,0.0,0.8,3.0,2.238,0.976,43.6,0.62,0.857,0.595,69.4,42,1,8.8,0.2,3.0,1.0,0.24,1.214,0.5,41.2,0.33,1629599
230,1.7,0.22,2.8,9.1,5.22,2.508,48.1,1.97,1.288,1.034,80.3,59,8,19.1,0.9,6.6,3.7,0.44,1.356,0.559,41.3,0.61,1629611
231,0.3,0.13,0.7,2.0,1.13,0.609,53.8,0.61,0.348,0.217,62.5,23,0,4.1,0.4,1.4,1.1,0.04,0.043,0.0,0.0,0.22,1630187
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630206
233,1.1,0.51,5.1,13.3,6.156,3.267,53.1,2.11,2.311,1.422,61.5,45,36,23.2,3.1,8.0,8.2,0.42,0.067,0.0,0.0,1.09,202684
234,5.0,0.29,3.6,17.1,15.263,6.237,40.9,1.42,3.079,2.868,93.2,38,38,31.5,0.3,18.2,3.9,1.08,8.079,2.816,34.9,2.11,202689
235,2.4,0.8,1.6,8.6,9.0,3.2,35.6,2.4,1.2,1.0,83.3,5,0,27.4,0.2,9.6,1.8,1.2,5.2,2.2,42.3,1.2,203095
236,5.5,0.48,2.7,15.7,10.625,4.35,40.9,2.48,3.575,2.825,79.0,40,37,32.7,0.8,13.6,3.5,1.48,5.875,2.025,34.5,1.8,203935
237,1.5,0.5,2.8,9.5,5.75,3.25,56.5,0.75,0.5,0.25,50.0,4,0,15.0,1.5,6.8,4.3,0.25,0.75,0.0,0.0,1.0,203953
238,3.4,0.55,4.6,22.2,18.755,9.302,49.6,2.91,4.226,3.189,75.4,53,53,34.2,1.2,24.5,5.8,1.21,6.774,2.736,40.4,2.72,1627759
239,4.4,0.41,6.7,24.7,20.407,9.278,45.5,1.81,4.963,4.315,86.9,54,54,35.7,0.7,25.8,7.4,1.19,7.556,2.907,38.5,2.65,1628369
240,0.7,0.0,2.1,5.5,4.0,1.6,40.0,1.08,0.64,0.48,75.0,50,12,17.5,0.5,4.8,2.6,0.3,2.9,1.12,38.6,0.4,1628400
241,1.0,1.1,2.1,6.3,3.8,1.6,42.1,1.0,0.2,0.1,50.0,10,0,12.7,0.6,4.0,2.7,0.0,2.3,0.7,30.4,0.2,1628436
242,0.4,0.04,0.8,3.5,3.542,1.625,45.9,0.92,0.375,0.292,77.8,24,1,8.7,0.1,4.1,0.9,0.21,1.875,0.542,28.9,0.17,1629035
243,1.8,1.79,4.4,16.6,5.085,3.66,72.0,2.13,1.383,0.894,64.6,47,10,18.9,2.6,8.2,7.0,0.83,0.043,0.0,0.0,1.02,1629057
244,0.1,0.8,1.8,4.9,1.6,1.2,75.0,1.07,0.867,0.267,30.8,15,0,6.7,0.7,2.7,2.5,0.07,0.0,0.0,0.0,0.27,1629605
245,0.7,0.27,1.4,3.0,3.0,0.818,27.3,1.36,0.273,0.273,100.0,11,3,16.1,0.9,2.2,2.3,0.36,1.0,0.273,27.3,0.64,1629641
246,2.1,0.0,0.5,3.9,2.412,0.882,36.6,0.47,0.824,0.765,92.9,17,1,7.3,0.2,2.9,0.7,0.65,1.059,0.412,38.9,0.82,1629682
247,1.0,0.37,2.1,5.7,3.808,1.596,41.9,2.56,0.769,0.423,55.0,52,8,18.7,0.8,4.3,2.9,0.58,2.038,0.731,35.8,0.92,1629684
248,0.4,0.18,1.8,3.8,3.059,1.147,37.5,1.41,0.471,0.324,68.8,34,0,12.7,0.5,3.4,2.3,0.26,2.176,0.735,33.8,0.53,1630174
249,1.8,0.17,1.7,8.0,6.037,2.741,45.4,1.63,0.556,0.5,90.0,54,2,19.1,0.5,7.4,2.2,0.54,3.407,1.444,42.4,0.83,1630202
250,7.9,0.59,7.3,28.4,18.439,9.463,51.3,1.59,5.829,4.098,70.3,41,41,33.9,0.6,25.4,7.9,1.05,6.488,2.39,36.8,3.71,2544
251,0.5,0.09,1.4,2.3,0.636,0.182,28.6,0.64,0.0,0.0,0.0,11,0,6.9,0.4,0.5,1.8,0.09,0.455,0.182,40.0,0.18,201162
252,2.1,1.2,3.3,9.5,4.0,1.778,44.4,2.24,1.022,0.756,73.9,45,42,19.5,0.8,5.3,4.1,0.51,2.467,0.956,38.7,1.16,201188
253,0.9,0.3,1.3,4.6,4.24,1.42,33.5,1.4,0.7,0.6,85.7,50,7,19.3,0.3,4.5,1.6,0.64,3.36,1.08,32.1,0.44,202083
254,1.2,0.33,3.8,8.8,6.423,2.731,42.5,1.85,0.827,0.615,74.4,52,26,20.6,0.8,7.3,4.6,0.35,3.673,1.192,32.5,0.94,202693
255,3.0,1.68,6.0,24.0,16.48,8.44,51.2,1.68,5.6,4.0,71.4,25,25,32.0,2.0,21.6,8.0,1.28,2.6,0.68,26.2,1.88,203076
256,1.9,0.78,7.7,17.3,9.111,4.333,47.6,3.89,3.667,2.556,69.7,9,9,25.8,2.7,11.2,10.4,1.67,0.0,0.0,0.0,2.67,203083
257,0.4,0.33,1.3,7.3,6.778,3.0,44.3,2.56,1.778,1.444,81.3,9,1,17.9,0.4,9.4,1.7,0.11,5.222,2.0,38.3,0.67,203463
258,5.7,0.23,3.0,15.8,12.446,5.446,43.8,2.64,4.196,3.536,84.3,56,56,32.0,0.5,15.6,3.5,1.18,3.375,1.161,34.4,2.73,203471
259,1.6,0.33,2.2,9.6,7.564,3.273,43.3,1.64,1.527,1.309,85.7,55,55,27.4,0.4,9.7,2.6,0.82,4.291,1.818,42.4,1.0,203484
260,1.1,0.73,4.2,17.4,9.136,5.661,62.0,1.9,3.661,2.61,71.3,59,1,24.0,2.4,13.9,6.6,0.68,0.169,0.0,0.0,1.12,1626149
261,2.5,0.26,2.4,8.3,4.8,2.06,42.9,1.8,1.22,0.82,67.2,50,0,20.5,0.5,5.9,2.9,1.16,2.28,0.92,40.4,1.22,1627936
262,0.2,0.0,0.9,3.2,2.206,1.147,52.0,0.62,0.5,0.265,52.9,34,0,6.5,0.5,3.0,1.4,0.15,0.941,0.412,43.8,0.12,1628035
263,1.7,0.56,4.6,13.4,11.351,4.947,43.6,1.77,1.404,0.947,67.5,57,27,28.5,1.7,12.8,6.3,0.53,5.702,2.0,35.1,1.75,1628398
264,0.1,0.29,1.1,1.0,0.714,0.214,30.0,0.5,0.929,0.429,46.2,14,0,3.8,0.3,0.9,1.4,0.14,0.0,0.0,0.0,0.71,1628961
265,2.5,0.36,2.3,9.3,7.582,3.382,44.6,1.96,1.836,1.491,81.2,55,3,19.7,0.4,8.8,2.7,0.95,2.109,0.564,26.7,1.45,1629659
266,0.1,0.24,1.2,3.4,1.588,1.0,63.0,0.47,0.529,0.235,44.4,17,1,5.2,0.6,2.2,1.8,0.29,0.0,0.0,0.0,0.29,1629719
267,1.5,0.59,4.2,11.6,9.824,4.059,41.3,1.88,1.608,1.294,80.5,51,0,21.7,0.7,11.0,4.9,0.71,4.235,1.588,37.5,1.0,200752
268,7.2,0.26,3.7,23.6,14.92,7.34,49.2,2.04,7.02,6.2,88.3,50,50,34.0,0.8,21.2,4.5,0.88,1.4,0.36,25.7,1.96,201942
269,2.4,0.04,1.4,9.9,9.393,3.982,42.4,1.2,1.196,1.089,91.0,56,0,25.4,0.3,11.6,1.7,0.66,6.536,2.5,38.3,0.96,201988
